[2024-01-24 22:35:48,435 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 02: Enter valid infor 1 time
[2024-01-24 22:35:49,739 INFO safe.railway.user.User_01_Login_Logout] - TC04- Step 03: Verify error
[2024-01-24 22:35:49,842 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:35:49,842 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 04: Enter valid infor many times
[2024-01-24 22:35:53,730 INFO safe.railway.user.User_01_Login_Logout] - TC04 - Step 05: Verify error
[2024-01-24 22:35:53,863 ERROR safe.railway.user.User_01_Login_Logout] - -------------------FAILED-------------------
[2024-01-24 22:35:53,872 INFO safe.railway.user.User_01_Login_Logout] - TC05 - Step 01: Open register page
[2024-01-24 22:35:54,625 INFO safe.railway.user.User_01_Login_Logout] - TC05 - Step 02: Creae new account
[2024-01-24 22:35:57,743 INFO safe.railway.user.User_01_Login_Logout] - TC05 - Step 03: Open login page
[2024-01-24 22:35:58,473 INFO safe.railway.user.User_01_Login_Logout] - TC05 - Step 04: Enter email to textbox
[2024-01-24 22:35:58,791 INFO safe.railway.user.User_01_Login_Logout] - TC05 - Step 05: Enter password to textbox
[2024-01-24 22:35:58,989 INFO safe.railway.user.User_01_Login_Logout] - TC05 - Step 06: Click login button
[2024-01-24 22:35:59,508 INFO safe.railway.user.User_01_Login_Logout] - TC05 - Step 07: Verify error message: Invalid username or password. Please try again.
[2024-01-24 22:35:59,834 INFO safe.railway.user.User_01_Login_Logout] - -------------------PASSED-------------------
[2024-01-24 22:35:59,841 INFO safe.railway.user.User_01_Login_Logout] - TC06 - Step 01: Open login page
[2024-01-24 22:36:00,668 INFO safe.railway.user.User_01_Login_Logout] - TC06 - Step 02: Login page
